"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"TT_TU_MN009","1443","202012140100","0.3","1","0"
"TT_TU_MN009","1443","202012140200","0.1","1","0"
"TT_TU_MN009","1443","202012140300","0.6","1","0"
"TT_TU_MN009","1443","202012140400","-0.3","1","0"
"TT_TU_MN009","1443","202012140500","-0.3","1","0"
"TT_TU_MN009","1443","202012140600","-0.2","1","0"
"TT_TU_MN009","1443","202012140700","-0.6","1","0"
"TT_TU_MN009","1443","202012140800","0.7","1","0"
"TT_TU_MN009","1443","202012140900","2.9","1","0"
"TT_TU_MN009","1443","202012141000","5.4","1","0"
"TT_TU_MN009","1443","202012141100","7.6","1","0"
"TT_TU_MN009","1443","202012141200","8.8","1","0"
"TT_TU_MN009","1443","202012141300","9","1","0"
"TT_TU_MN009","1443","202012141400","9.5","1","0"
"TT_TU_MN009","1443","202012141500","8.2","1","0"
"TT_TU_MN009","1443","202012141600","6.7","1","0"
"TT_TU_MN009","1443","202012141700","7.2","1","0"
"TT_TU_MN009","1443","202012141800","4.6","1","0"
"TT_TU_MN009","1443","202012141900","4.2","1","0"
"TT_TU_MN009","1443","202012142000","4.1","1","0"
"TT_TU_MN009","1443","202012142100","3.3","1","0"
"TT_TU_MN009","1443","202012142200","3","1","0"
"TT_TU_MN009","1443","202012142300","2.4","1","0"
"TT_TU_MN009","1443","202012150000","3.8","1","0"
"TT_TU_MN009","1443","202012150100","4.4","1","0"
"TT_TU_MN009","1443","202012150200","4.4","1","0"
"TT_TU_MN009","1443","202012150300","5.1","1","0"
"TT_TU_MN009","1443","202012150400","4.8","1","0"
"TT_TU_MN009","1443","202012150500","5","1","0"
"TT_TU_MN009","1443","202012150600","5.1","1","0"
"TT_TU_MN009","1443","202012150700","4.8","1","0"
"TT_TU_MN009","1443","202012150800","5","1","0"
"TT_TU_MN009","1443","202012150900","6","1","0"
"TT_TU_MN009","1443","202012151000","6.4","1","0"
"TT_TU_MN009","1443","202012151100","7.3","1","0"
"TT_TU_MN009","1443","202012151200","8.1","1","0"
"TT_TU_MN009","1443","202012151300","9.6","1","0"
"TT_TU_MN009","1443","202012151400","10.8","1","0"
"TT_TU_MN009","1443","202012151500","10.2","1","0"
"TT_TU_MN009","1443","202012151600","10.5","1","0"
"TT_TU_MN009","1443","202012151700","10.3","1","0"
"TT_TU_MN009","1443","202012151800","9.2","1","0"
"TT_TU_MN009","1443","202012151900","8","1","0"
"TT_TU_MN009","1443","202012152000","8.7","1","0"
"TT_TU_MN009","1443","202012152100","7.3","1","0"
"TT_TU_MN009","1443","202012152200","6","1","0"
"TT_TU_MN009","1443","202012152300","6.6","1","0"
"TT_TU_MN009","1443","202012160000","4.8","1","0"
"TT_TU_MN009","1443","202012160100","5.2","1","0"
"TT_TU_MN009","1443","202012160200","5.9","1","0"
"TT_TU_MN009","1443","202012160300","5.5","1","0"
"TT_TU_MN009","1443","202012160400","6.1","1","0"
"TT_TU_MN009","1443","202012160500","6.1","1","0"
"TT_TU_MN009","1443","202012160600","5.2","1","0"
"TT_TU_MN009","1443","202012160700","5.9","1","0"
"TT_TU_MN009","1443","202012160800","5.2","1","0"
"TT_TU_MN009","1443","202012160900","6.6","1","0"
